"""source: Plant & Soil Sciences eLibrary, Lesson: Soils - Part 2: Physical Properties of Soil and Soil Water, page 10 (Soil Water), Table 2.6. https://passel2.unl.edu/view/lesson/0cff7943f577/10; Rain Machine support documentation, 'Zones', 'Soil Types', Table, https://support.rainmachine.com/hc/en-us/articles/228001248-Soil-Types""; SWAT theoretical documentation 2009, p. 148, Table 2:3-1, https://swat.tamu.edu/media/99192/swat2009-theory.pdf""",,,,,,,,,,,
"""NOTES: value=0 when missing value; """,,,,,,,,,,,
"""types of texture types from row """,6,""" to """,17,,,,,,,,
"""Texture type in column """,1,"""Field capacity (fraction of soil volume) in column """,2,"""Saturation (fraction of soil volume) in column """,3,"""Intake rate (mm/hour) in column """,4,"""Water holding capacity (in/ft; min, max) in columns """,5,""" and """,6
"""Texture type""","""Field capacity (fraction of soil volume)""","""Saturation (fraction of soil volume)""","""Intake Rate (mm/hour)""","""minimum Water holding capacity (in/ft)""","""maximum Water holding capacity (in/ft)""",,,,,,
Clay,0.357,0.6,2.54,1.2,1.5,,,,,,
Clay loam,0.306,0,5.08,0,0,,,,,,
Loam,0.26,0.5,8.89,0,0,,,,,,
Loamy sand,0.14,0,12.7,1.1,1.2,,,,,,
Sand,0.1,0.4,15.24,0.25,1,,,,,,
Sandy clay,0.306,0,6.35,0,0,,,,,,
Sandy clay loam,0.306,0,6.35,0,0,,,,,,
Sandy loam,0.17,0,10.16,1.25,2,,,,,,
Silt,0.255,0,7.62,0,0,,,,,,
Silt loam,0.272,0,8.128,2,2.5,,,,,,
Silty clay,0.3485,0,3.81,1.5,1.7,,,,,,
Silty clay loam,0.2365,0,3.81,1.8,2,,,,,,
