terrainRandomSeed,randomSeed,temperature_annualMaxAt2m,temperature_annualMinAt2m,temperature_meanDailyFluctuation,temperature_dailyLowerDeviation,temperature_dailyUpperDeviation,solar_annualMax,solar_annualMin,solar_meanDailyFluctuation,precipitation_yearlyMean,precipitation_yearlySd,precipitation_dailyCum_nSamples,precipitation_dailyCum_maxSampleSize,precipitation_dailyCum_plateauValue_yearlyMean,precipitation_dailyCum_plateauValue_yearlySd,precipitation_dailyCum_inflection1_yearlyMean,precipitation_dailyCum_inflection1_yearlySd,precipitation_dailyCum_rate1_yearlyMean,precipitation_dailyCum_rate1_yearlySd,precipitation_dailyCum_inflection2_yearlyMean,precipitation_dailyCum_inflection2_yearlySd,precipitation_dailyCum_rate2_yearlyMean,precipitation_dailyCum_rate2_yearlySd,elev_seaLevelReferenceShift,riverWaterPerFlowAccumulation,errorToleranceThreshold,crop_selection,crop_intensity
35,0,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,489,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,5.53325365884843E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
35,1,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,489,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,4.228517846347833E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
35,2,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,489,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,4.416349471096882E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
35,3,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,489,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,5.552899166944269E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
35,4,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,489,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,9.673595398905164E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
35,5,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,489,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,2.2977323240977996E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
35,6,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,489,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,8.93931556910296E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
35,7,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,489,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,8.554520078101282E-5,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
35,8,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,489,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,8.74695108845879E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
35,9,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,489,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,2.0270407659059905E-5,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
