"""source: table in page A-1, Cronshey R G 1986 Urban Hydrology for Small Watersheds, Technical Release 55 (TR-55). United States Department of Agriculture, Soil Conservation Service, Engineering Division.""",,,
"""NOTES: """,,,
"""types of texture types from row """,6,""" to """,17
"""Texture type in column """,1,"""Hydrologic soil groups in column """,2
"""Texture type""","""Hydrologic soil groups""",,
Clay,D,,
Clay loam,D,,
Loam,B,,
Loamy sand,A,,
Sand,A,,
Sandy clay,D,,
Sandy clay loam,C,,
Sandy loam,A,,
Silt,B,,
Silt loam,B,,
Silty clay,D,,
Silty clay loam,D,,
