"BehaviorSpace results (NetLogo 6.0.4)"
"SIMPLE-crop-model.nlogo"
"experiment"
"01/13/2020 17:50:15:119 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","precipitation_daily-cum_rate2_yearly-mean","CO2-mean","solar_annual-min","precipitation_daily-cum_rate2_yearly-sd","CO2-daily-fluctuation","seed","precipitation_yearly-sd","solar_annual-max","precipitation_daily-cum_plateau-value_yearly-sd","precipitation_daily-cum_n-sample","precipitation_daily-cum_inflection1_yearly-sd","CO2-annual-deviation","precipitation_daily-cum_max-sample-size","precipitation_daily-cum_inflection2_yearly-sd","precipitation_daily-cum_inflection2_yearly-mean","temperature_daily-mean-fluctuation","temperature_annual-min-at-2m","solar_daily-mean-fluctuation","temperature_daily-lower-deviation","temperature_annual-max-at-2m","temperature_daily-upper-deviation","end-simulation-in-tick","precipitation_yearly-mean","precipitation_daily-cum_inflection1_yearly-mean","precipitation_daily-cum_rate1_yearly-mean","display-mode","precipitation_daily-cum_plateau-value_yearly-mean","precipitation_daily-cum_rate1_yearly-sd","type-of-experiment","[step]","T","T_max","T_min","RAIN","solarRadiation","ET_0","mean [WATp] of patches","mean [ARID] of patches","mean [biomass] of patches with [position crop typesOfCrops = 0]","mean [biomass] of patches with [position crop typesOfCrops = 1]","mean [yield] of patches with [position crop typesOfCrops = 0]","mean [yield] of patches with [position crop typesOfCrops = 1]"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","0","9.851052944819848","14.851052944819848","4.851052944819848","10.395327886921647","11.287270661370236","2.405645334758726","0.2156806305358901","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","1","19.37251963564059","24.37251963564059","14.37251963564059","6.368053419665239","12.757060753985172","3.382138593443765","0.21126499735466248","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","2","10.355293542300036","15.355293542300036","5.355293542300036","0","7.697735368875711","1.9580329095321638","0.20567416653577045","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","3","16.05246609977193","21.05246609977193","11.05246609977193","0","12.917385378337023","3.1450714596744818","0.1978114878865824","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","4","23.587183279277973","28.587183279277973","18.587183279277973","0","9.56261718116234","3.078555436306792","0.1901150992958157","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","5","14.46065506636789","19.46065506636789","9.46065506636789","0","9.083303337736526","2.422565271771267","0.18405868611638712","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","6","20.09359006884926","25.09359006884926","15.09359006884926","0","12.235427139555378","3.344246690830799","0.1756980693893112","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","7","18.131274103843133","23.131274103843133","13.131274103843133","0","8.748324599637147","2.6029961982635856","0.1691905788936499","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","8","13.461547144346305","18.461547144346305","8.461547144346305","0","12.520318207051021","2.870607029238958","0.1620140613205546","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","9","11.217326879629944","16.217326879629944","6.217326879629944","0","11.43553414355676","2.533064248263542","0.15568140069989603","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","10","8.730849600324387","13.730849600324387","3.7308496003243867","0","14.770581667533806","2.764905034852279","0.14876913811276354","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","11","13.865015977006067","18.865015977006067","8.865015977006067","0","11.349643944862994","2.726375786221374","0.14195319864721012","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","12","14.68870155459707","19.68870155459707","9.68870155459707","0","8.481334490163656","2.3442314241913107","0.13609262008673323","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","13","16.524043277494897","21.524043277494897","11.524043277494897","0","15.980169992628676","3.6835959522797452","0.1287877285584069","0.20676516936604958","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","14","11.378562644624777","16.37856264462478","6.378562644624777","0","12.624166017522452","2.7125155880337655","0.12218410661679964","0.026199595572638578","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","15","18.495283031291418","23.495283031291418","13.495283031291418","0","12.238440029737852","3.2248933284514116","0.11621443238158691","0.2595507972253623","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","16","7.409494714805529","12.409494714805529","2.409494714805529","0","12.147567178171244","2.319600180117951","0.11081784687295468","0.06939384556214365","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","17","8.464256138008203","13.464256138008203","3.464256138008203","0","3.777450685291089","1.3422573155859503","0.10746220358398952","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","18","21.73424888251573","26.73424888251573","16.73424888251573","0","10.607314658854788","3.161946168847824","0.10290583203992604","0.42359909995263917","0","0","0","0"
