Carl Schmertmann,,Complete Set of CT & QS Fits to 226 5-year schedules,,,,,,,,,,,,,,,,,,
26 May 2003,,Source for Original Data: US Census International Database,,,,,,,,,,,,,,,,,,
,,http://www.census.gov/ipc/www/idbacc.html    [downloaded on 17 June 2002],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,US Census Data Base (1000 5fx),,,,,,,,,COALE-TRUSSELL FIT,,,,,,QS FIT,,,,
2002 SCHEDULE,TFR,5f15,5f20,5f25,5f30,5f35,5f40,5f45,,tfr,a0,k,m,RE,,R,alpha,P,H,RE
Afghanistan,5.72,88.2,259.7,280.1,237.8,176.9,76.6,24.3,,5.67,13.5,0.59,0.30,1.9,,0.290,13.0,24.7,39.1,2.7
Albania,2.27,12.4,113.2,155.9,112.0,43.9,14.4,2.2,,2.28,14.8,1.27,1.99,5.0,,0.166,15.5,26.8,34.2,4.6
Algeria,2.63,22.8,119.9,161.7,132.0,62.5,23.4,4.1,,2.63,13.0,1.65,1.70,4.7,,0.171,13.9,27.2,35.6,4.4
American Samoa,3.40,39.6,163.9,220.1,155.8,74.6,24.1,0.3,,3.41,12.5,2.48,2.36,1.3,,0.228,13.4,27.0,34.7,1.4
Andorra,1.26,9.0,37.9,91.7,78.9,28.8,5.9,0.5,,1.24,18.2,1.94,3.07,9.5,,0.100,15.2,30.0,35.1,4.0
Angola,6.43,118.4,283.5,306.9,260.1,192.8,92.0,32.2,,6.35,12.2,0.67,0.28,2.0,,0.315,11.3,24.8,39.4,2.3
Anguilla,1.77,15.1,70.1,119.2,95.7,39.6,12.2,2.5,,1.76,15.3,2.40,2.65,5.9,,0.125,13.4,28.8,35.1,1.4
Antig & Barb,2.29,111.8,150.1,108.2,56.5,25.4,5.8,0.8,,2.42,0.0,1.75,1.82,0.5,,0.154,8.4,21.8,30.2,1.0
Argentina,2.41,54.8,114.1,132.8,106.3,54.8,16.5,1.9,,2.45,6.2,3.83,1.81,5.0,,0.140,5.6,27.3,35.7,3.8
Armenia,1.53,45.6,136.7,73.1,33.9,13.8,3.2,0.0,,1.52,18.3,0.02,2.15,2.8,,0.162,18.3,18.8,27.0,2.7
Aruba,1.80,28.1,88.7,112.6,81.1,35.9,11.2,1.5,,1.80,11.5,3.19,2.49,3.2,,0.118,11.6,27.0,34.5,2.4
Australia,1.77,18.4,60.7,114.8,104.1,46.1,8.5,0.4,,1.76,16.0,2.41,2.56,10.5,,0.125,11.9,30.1,35.7,2.5
Austria,1.40,14.8,69.6,98.1,65.6,25.2,5.2,0.4,,1.40,14.4,2.74,3.05,3.6,,0.103,13.6,27.4,33.8,2.3
Azerbaijan,2.29,25.1,177.1,142.6,76.6,29.2,6.9,0.6,,2.31,16.6,0.37,1.69,2.5,,0.191,17.0,22.7,30.7,1.8
Bahamas,2.28,53.8,115.1,118.7,100.9,53.9,12.1,1.2,,2.35,4.9,3.04,1.52,5.8,,0.130,8.1,25.8,35.9,6.7
Bahrain,2.75,15.9,104.1,160.4,141.1,83.9,34.3,10.3,,2.72,14.1,1.24,1.10,3.2,,0.167,14.6,27.7,37.5,3.0
Bangladesh,2.72,100.7,148.4,139.2,96.0,42.0,16.3,1.1,,2.83,0.0,2.45,1.40,4.9,,0.155,0.6,24.9,33.7,2.8
Barbados,1.65,47.4,95.3,94.8,63.7,23.2,4.1,0.3,,1.70,5.6,3.83,2.34,6.0,,0.106,7.5,25.5,33.1,5.4
Belarus,1.31,31.5,111.0,73.9,32.4,10.8,2.1,0.0,,1.32,15.3,0.41,2.18,1.2,,0.117,16.1,21.8,29.1,0.8
Belgium,1.61,9.6,61.8,125.4,87.4,29.7,7.7,1.0,,1.59,17.9,2.37,3.65,4.9,,0.130,15.8,28.6,34.1,2.9
